SNO,Fault URN,Model(s),Severity,What It Means,Recommended Action,POA,CLI checks
885,DCOverCurrent,CPE250 (legacy),Critical,DC output current exceeded maximum. Overcurrent protection triggered.,Check for short circuit in cable or contactor. Replace power module if internal fault.,,
886,DCLinkOverVoltage,CPE250 (legacy),Critical,DC link (intermediate bus between rectifier and inverter) voltage is too high. Regenerative energy from vehicle or regulation failure.,Power cycle. Check power module. Replace if persists.,,
887,DCLinkUnderVoltage,CPE250 (legacy),Major,DC link voltage is too low. Rectifier not providing sufficient voltage.,Check AC input. Power cycle. Replace power module if rectifier stage failed.,,
888,ChargerFault,CPE250 (legacy),Critical,General charger (DC-DC stage) fault. Power module can't convert to required output voltage.,Power cycle. Replace power module.,,
889,RectifierShutdown,CPE250 (legacy),Critical,Rectifier stage (AC-DC) has shut down due to fault. No DC link voltage.,Power cycle. Check AC input. Replace power module if rectifier failed.,,
890,ChargerShutdown,CPE250 (legacy),Critical,Charger stage (DC-DC) has shut down. No output power.,Power cycle. Replace power module.,,
891,CommsError,CPE250 (legacy),Major,Generic communication error from power module. CAN or serial link interrupted.,Check CAN cabling. Power cycle. Replace module if persists.,,
892,RelayFailure,CPE250 (legacy),Critical,Internal relay in power module has failed.,Replace power module.,,
893,ChargerVoltageStartupFailure,CPE250 (legacy),Critical,Charger stage failed to reach target voltage during startup. Output voltage didn't ramp as expected.,Power cycle. Replace power module if persists.,,
894,DCUnderVoltage,CPE250 (legacy),Major,DC output voltage is below target. Vehicle may not accept charge at this voltage.,Check power module. Try different vehicle. Replace module if regulation failed.,,
895,OutputANotReady,CPE250 (legacy),Major,Power module output channel A is not ready. Module failed startup check on channel A.,Power cycle. Replace power module if persists.,,
896,OutputBNotReady,CPE250 (legacy),Major,Power module output channel B is not ready.,Power cycle. Replace power module if persists.,,
897,ChargerUnderFrequency,CPE250 (legacy),Major,Charger internal switching frequency is below expected. Control loop issue.,Power cycle. Replace power module.,,
898,RangeSwitchFailure,CPE250 (legacy),Critical,Range switch (voltage range selector) failed to switch. Module can't change voltage range.,Power cycle. Replace power module.,,
899,DCUnderVoltageShutdown,CPE250 (legacy),Critical,DC output undervoltage caused module shutdown. Voltage dropped below minimum safe level.,Check power module. Power cycle. Replace module if persists.,,
900,AmbientTemperatureShutdown,CPE250 (legacy),Critical,Ambient temperature exceeded maximum — power module shut down to prevent damage.,Environmental condition. Station may need shade or relocation. Wait for temp to drop.,,
901,TrafoTemperatureShutdown,CPE250 (legacy),Critical,Transformer temperature exceeded maximum — power module shut down. Internal transformer overheated.,Check cooling system. Power cycle. Replace power module if transformer is damaged.,,
902,LLCOverCurrent,CPE250 (legacy),Critical,LLC resonant converter primary overcurrent detected inside power module. Switching stage is drawing excessive current.,Power cycle. Replace power module.,,
903,ACCurrentImbalance,CPE250 (legacy),Major,AC input current imbalance between phases. One phase is drawing significantly more/less than others.,Check AC input wiring. Check for failed rectifier leg. Replace power module if internal fault.,,
904,InvalidPMVoltageTarget,CPE250 (legacy),Major,DCC sent an invalid voltage target to the power module. Software or communication error.,Power cycle. Update firmware. Escalate to engineering if persists.,,
905,EmergencyPowerOff,CPE250 (legacy),Critical,Emergency Power Off (EPO) activated. E-stop button pressed or EPO circuit triggered. All power shut down immediately.,Check E-stop button. Reset EPO. Investigate why it was triggered.,,
906,LinkVoltageStartupFailure,CPE250 (legacy),Critical,DC link voltage failed to reach target during startup. Precharge circuit or rectifier may have failed.,Power cycle. Check precharge resistor and relay. Replace power module if persists.,,
907,HarmonicDistortionViolation,CPE250 (legacy),Major,AC input harmonic distortion exceeds limits. Power module generating too many harmonics on the grid. May violate utility requirements.,Check site power quality. Replace power module if internal PFC (Power Factor Correction) is failing.,,
908,ChargerStartupTimeout,CPE250 (legacy),Critical,Charger (DC-DC stage) timed out during startup. Didn't reach operating state in time.,Power cycle. Replace power module if persists.,,
909,OutputRelayCloseFailed,CPE250 (legacy),Critical,Output relay failed to close. Power module can't connect its output to the DC bus.,Power cycle. Replace output relay or power module.,,
910,LinkPrechargeFault,CPE250 (legacy),Critical,DC link precharge circuit fault. Precharge resistor or relay failed — can't safely bring up DC link voltage.,Power cycle. Check precharge components. Replace power module if persists.,,
911,EEPROMError,CPE250 (legacy),Major,"Power module EEPROM error. Configuration, calibration, or serial number data corrupted or unreadable.",Power cycle. Replace power module if EEPROM is permanently failed.,,
912,PLDVersionConflict,CPE250 (legacy),Major,PLD (Programmable Logic Device) firmware version conflict. FPGA/CPLD version doesn't match expected version for this firmware.,Update power module firmware. Replace module if incompatible hardware.,,
913,InvalidBoardID,CPE250 (legacy),Major,Power module board ID is invalid. Hardware identification pins or EEPROM data don't match any known configuration.,Check module hardware. Replace power module if ID can't be resolved.,,
914,PowerFailure24V,CPE250 (legacy),Critical,Internal 24V power rail has failed in the power module. Control circuits have no power.,Replace power module.,,
915,PowerFailure5V,CPE250 (legacy),Critical,Internal 5V power rail has failed. Digital logic and sensors have no power.,Replace power module.,,
916,PowerFailure3.3V,CPE250 (legacy),Critical,Internal 3.3V power rail has failed. Processor and communication circuits have no power.,Replace power module.,,
917,CurrentSenseFailure,CPE250 (legacy),Critical,Current sensing circuit has failed inside power module. Module can't measure its own output current. Safety hazard.,Replace power module.,,
918,BootError,CPE250 (legacy),Critical,Power module failed to boot. Firmware didn't load or processor didn't start.,Power cycle. Update firmware. Replace power module if persists.,,
919,InternalTaskError,CPE250 (legacy),Critical,Internal RTOS task error in power module firmware. A real-time task crashed or exceeded its timing deadline.,Power cycle. Replace power module if persists.,,
920,GatePowerFault,CPE250 (legacy),Critical,Gate driver power supply fault. The power supply that drives the switching transistors (IGBTs/MOSFETs) has failed. Module can't switch.,Replace power module.,,
921,ConverterEnableFault,CPE250 (legacy),Critical,Converter enable signal fault. The LLC or PFC converter couldn't be enabled — interlock or safety check failed.,Power cycle. Replace power module if persists.,,
922,ProgammableDeviceCheckFault,CPE250 (legacy),Major,"Programmable device (FPGA/CPLD) check failed. Logic device configuration is corrupted or version is wrong. (Note: typo ""Progammable"" is original.)",Update firmware. Replace power module if FPGA is damaged.,,
923,ConverterCalibrationFailed,CPE250 (legacy),Major,Converter calibration procedure failed. Voltage/current sensors couldn't be calibrated to reference values.,Power cycle. Retry calibration. Replace power module if persists.,,
924,PowerModuleNotResponding,CPE250 (legacy),Critical,Power module is not responding to CAN commands from DCC. Module is present but not communicating.,Check CAN bus. Power cycle. Reseat module. Replace if persists.,,
925,PowerModuleNotReady,CPE250 (legacy),Major,Power module is communicating but not in ready state. Failed startup or stuck in fault recovery.,Power cycle. Check module status via DCC logs. Replace if persists.,,
926,PowerModuleNotDetected,CPE250 (legacy),Critical,Power module is physically installed but not detected on CAN bus. Hardware or bus wiring issue.,Check CAN connections. Reseat module. Check for bent pins. Replace module or DCC if persists. Maps to powermodule:not-detected.,,
927,powermodule:strike-out,"CPE250, CPE280, CP6000, EXPP",Critical,"Power module ""strike out"" — faulted too many times and permanently disabled until power cycle. Module won't participate in charging.",Power cycle to reset strike count. Replace module if recurs.,,
928,powermodule:ac-frequency-exceeds-limits,"CPE250, CPE280, CP6000, EXPP",Major,AC input frequency outside 50/60Hz ±limits. Module can't sync.,"Check site power. If on generator, verify frequency stability.",,
929,powermodule:ambient-temp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Ambient temp around power module above warning.,Monitor. Station may derate. Environmental.,,
930,powermodule:rectifier-temp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Rectifier (AC-DC) stage temp above warning.,Monitor. Check cooling. May derate.,,
931,powermodule:charger-temp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Charger (DC-DC) stage temp above warning.,Monitor. Check cooling.,,
932,powermodule:phase-rotation-error,"CPE250, CPE280, CP6000, EXPP",Major,AC phases connected in wrong order.,Site electrician must swap two of the three phases at input.,,
933,powermodule:temp-sensor-failure,"CPE250, CPE280, CP6000, EXPP",Major,Temp sensor inside module has failed. Can't monitor own temperature.,Replace power module.,,
934,powermodule:excessive-humidity,"CPE250, CPE280, CP6000, EXPP",Major,Excessive humidity inside station. Risk of condensation on electronics.,"Check seals, cable glands, door gaskets. Inspect for water ingress.",,
935,powermodule:condensation-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Conditions favorable for condensation.,Monitor humidity. Check seals. Ensure ventilation.,,
936,powermodule:dc-input-under-voltage,"CPE250, CPE280, CP6000, EXPP",Major,DC link input to charger stage below minimum.,Check AC input. Check rectifier stage. Power cycle.,,
937,powermodule:transformer-temp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Internal transformer temp above warning.,Monitor. Check cooling.,,
938,powermodule:watchdog-reset-alert,"CPE250, CPE280, CP6000, EXPP",Minor,Module processor watchdog triggered a reset. Transient firmware glitch.,"Monitor. If frequent, replace module.",,
939,powermodule:illegal-instruction-trap,"CPE250, CPE280, CP6000, EXPP",Critical,CPU1 executed illegal instruction. Firmware corruption or hardware fault.,Power cycle. Update firmware. Replace module if persists.,,
940,powermodule:non-maskable-interrupt-trap,"CPE250, CPE280, CP6000, EXPP",Critical,NMI triggered on CPU1. Critical hardware or firmware error.,Power cycle. Replace module if persists.,,
941,powermodule:unexpected-processor-reset,"CPE250, CPE280, CP6000, EXPP",Minor,CPU1 reset unexpectedly. May be watchdog or transient.,Monitor. Replace module if frequent.,,
942,powermodule:unhandled-exception,"CPE250, CPE280, CP6000, EXPP",Major,Unhandled exception in CPU1 firmware. Software crash.,Power cycle. Update firmware. Replace module if persists.,,
943,powermodule:output-discharge-failed,"CPE250, CPE280, CP6000, EXPP",Critical,DC bus discharge failed — voltage didn't bleed down after charging. Safety hazard — HV may persist.,Do not open station. Wait and retry. Check discharge resistor. Replace if failed.,,
944,powermodule:temp-sensor-values-unbalanced,"CPE250, CPE280, CP6000, EXPP",Minor,Multiple temp sensors disagree. One may be drifting.,Monitor. Replace module if readings diverge significantly.,,
945,powermodule:thermal-derate-active,"CPE250, CPE280, CP6000, EXPP",Minor,Module actively derating due to temperature. Self-protection.,Check cooling. Self-clears when temp drops.,,
946,powermodule:ac-over-voltage,"CPE250, CPE280, CP6000, EXPP",Major,AC input voltage above maximum. Site voltage too high.,Check site power. May need utility investigation.,,
947,powermodule:ac-under-voltage,"CPE250, CPE280, CP6000, EXPP",Major,AC input voltage below minimum.,Check site power. Check breakers and wiring.,,
948,powermodule:ac-over-current,"CPE250, CPE280, CP6000, EXPP",Critical,AC overcurrent — module drawing more than rated.,Check wiring. Check for short. Replace module if internal fault.,,
949,powermodule:dc-output-over-voltage,"CPE250, CPE280, CP6000, EXPP",Critical,DC output voltage exceeded maximum.,Try different vehicle. Check regulation. Replace module if persists.,,
950,powermodule:dc-output-over-current,"CPE250, CPE280, CP6000, EXPP",Critical,DC output current exceeded maximum.,Check for short in cable/contactor. Replace module if internal fault.,,
951,powermodule:dc-link-over-voltage,"CPE250, CPE280, CP6000, EXPP",Critical,DC link bus voltage too high.,Power cycle. Replace module if persists.,,
952,powermodule:dc-link-under-voltage,"CPE250, CPE280, CP6000, EXPP",Major,DC link bus voltage too low. Rectifier not providing enough.,Check AC input. Power cycle. Replace module if rectifier failed.,,
953,powermodule:charger-fault,"CPE250, CPE280, CP6000, EXPP",Critical,General charger (DC-DC) stage fault. Can't convert to required output.,Power cycle. Replace module.,,
954,powermodule:rectifier-over-temp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,Rectifier exceeded critical temp — shut down.,Check cooling. Power cycle. Replace module if persists.,,
955,powermodule:charger-over-temp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,Charger stage exceeded critical temp — shut down.,Check cooling. Power cycle. Replace module if persists.,,
956,powermodule:internal-comms-error,"CPE250, CPE280, CP6000, EXPP",Major,Internal communication error within module (between CPUs or between CPU and FPGA).,Power cycle. Replace module if persists.,,
957,powermodule:output-relay-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Output relay inside module has failed. Can't connect/disconnect from DC bus.,Replace power module.,,
958,powermodule:charger-voltage-startup-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Charger didn't reach target voltage during startup.,Power cycle. Replace module if persists.,,
959,powermodule:dc-output-under-voltage,"CPE250, CPE280, CP6000, EXPP",Major,DC output below target. Vehicle may not accept charge.,Check module. Try different vehicle. Replace if regulation failed.,,
960,powermodule:output-a-not-ready,"CPE250, CPE280, CP6000, EXPP",Major,Output channel A not ready. Failed startup check.,Power cycle. Replace module if persists.,,
961,powermodule:output-b-not-ready,"CPE250, CPE280, CP6000, EXPP",Major,Output channel B not ready.,Power cycle. Replace module if persists.,,
962,powermodule:charger-under-frequency,"CPE250, CPE280, CP6000, EXPP",Major,Internal switching frequency below expected. Control loop issue.,Power cycle. Replace module.,,
963,powermodule:range-switch-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Voltage range switch failed. Can't change voltage range.,Power cycle. Replace module.,,
964,powermodule:dc-input-under-voltage-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,DC link undervoltage caused shutdown.,Check AC input. Power cycle. Replace module if persists.,,
965,powermodule:ambient-over-temp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,Ambient temp exceeded max — module shut down.,Environmental. Wait for temp to drop. Shade structure may be needed.,,
966,powermodule:transformer-over-temp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,Internal transformer exceeded max temp — shut down.,Check cooling. Power cycle. Replace module if transformer damaged.,,
967,powermodule:llc-primary-over-current,"CPE250, CPE280, CP6000, EXPP",Critical,LLC converter primary overcurrent. Switching stage drawing excessive current.,Power cycle. Replace module.,,
968,powermodule:ac-input-current-imbalance,"CPE250, CPE280, CP6000, EXPP",Major,AC input current imbalance between phases.,Check AC wiring. Check for failed rectifier leg. Replace module if internal.,,
969,powermodule:target-voltage-out-of-range,"CPE250, CPE280, CP6000, EXPP",Major,Voltage target sent to module is outside supported range. Software or config error.,Power cycle. Update firmware. Escalate if persists.,,
970,powermodule:startup-timed-out,"CPE250, CPE280, CP6000, EXPP",Critical,Module timed out during startup sequence. Didn't reach ready state in time.,Power cycle. Replace module if persists.,,
971,powermodule:emergency-power-off,"CPE250, CPE280, CP6000, EXPP",Critical,EPO activated. E-stop pressed or EPO circuit triggered.,Check E-stop. Reset EPO. Investigate trigger cause.,,
972,powermodule:dc-link-setpoint-missed,"CPE250, CPE280, CP6000, EXPP",Major,DC link voltage didn't reach setpoint. Precharge or rectifier underperforming.,Power cycle. Check precharge circuit. Replace module if persists.,,
973,powermodule:link-precharge-fault,"CPE250, CPE280, CP6000, EXPP",Critical,Precharge circuit fault. Can't safely bring up DC link.,Power cycle. Check precharge components. Replace module if persists.,,
974,powermodule:eeprom-error,"CPE250, CPE280, CP6000, EXPP",Major,Module EEPROM error. Config/calibration data corrupted.,Power cycle. Replace module if permanent.,,
975,powermodule:pld-version-conflict,"CPE250, CPE280, CP6000, EXPP",Major,FPGA/CPLD version doesn't match expected version for this firmware.,Update firmware. Replace module if incompatible HW.,,
976,powermodule:invalid-board-id,"CPE250, CPE280, CP6000, EXPP",Major,Board ID pins or EEPROM don't match any known configuration.,Check module HW. Replace if ID unresolvable.,,
977,powermodule:power-failure-24v,"CPE250, CPE280, CP6000, EXPP",Critical,Internal 24V rail failed. Control circuits have no power.,Replace module.,,
978,powermodule:power-failure-5v,"CPE250, CPE280, CP6000, EXPP",Critical,Internal 5V rail failed. Digital logic has no power.,Replace module.,,
979,powermodule:power-failure-3-3v,"CPE250, CPE280, CP6000, EXPP",Critical,Internal 3.3V rail failed. Processor has no power.,Replace module.,,
980,powermodule:can-comms-error,"CPE250, CPE280, CP6000, EXPP",Critical,Module lost CAN communication with station controller.,Check CAN cabling. Power cycle. Replace module if persists.,,
981,powermodule:ready-state-timeout,"CPE250, CPE280, CP6000, EXPP",Major,Module didn't reach ready state within expected time after boot.,Power cycle. Replace module if persists.,,
982,powermodule:current-sensor-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Current sensor failed. Module can't measure own output current. Safety hazard.,Replace module.,,
983,powermodule:pfc-temp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,PFC (Power Factor Correction) stage temp above warning.,Monitor. Check cooling.,,
984,powermodule:llc-temp-warning,"CPE250, CPE280, CP6000, EXPP",Minor,LLC converter stage temp above warning.,Monitor. Check cooling.,,
985,powermodule:cpu1-ipc-interface-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Inter-processor communication (IPC) between CPU1 and CPU2 has failed. Dual-CPU module can't coordinate.,Power cycle. Replace module if persists.,,
986,powermodule:cpu2-ipc-interface-failure,"CPE250, CPE280, CP6000, EXPP",Critical,IPC failure from CPU2 side.,Power cycle. Replace module if persists.,,
987,powermodule:cpu2-illegal-instruction-trap,"CPE250, CPE280, CP6000, EXPP",Critical,CPU2 executed illegal instruction. Firmware corruption.,Power cycle. Update firmware. Replace module if persists.,,
988,powermodule:cpu2-non-maskable-interrupt-trap,"CPE250, CPE280, CP6000, EXPP",Critical,NMI on CPU2. Critical HW or FW error.,Power cycle. Replace module if persists.,,
989,powermodule:unexpected-cpu2-reset,"CPE250, CPE280, CP6000, EXPP",Minor,CPU2 reset unexpectedly. May be watchdog or transient.,Monitor. Replace if frequent.,,
990,powermodule:unhandled-cpu2-exception,"CPE250, CPE280, CP6000, EXPP",Major,Unhandled exception on CPU2. Software crash.,Power cycle. Update firmware. Replace module if persists.,,
991,powermodule:cpu2-boot-error,"CPE250, CPE280, CP6000, EXPP",Critical,CPU2 failed to boot. Secondary processor didn't start.,Power cycle. Replace module if persists.,,
992,powermodule:fan-failure-warning,"CPE250, CPE280, CP6000, EXPP",Minor,Module's internal fan showing signs of failure (speed mismatch or intermittent).,Monitor. Schedule replacement.,,
993,powermodule:external-flash-spi-error,"CPE250, CPE280, CP6000, EXPP",Major,External flash memory SPI communication error. Firmware storage or logging may be affected.,Power cycle. Replace module if persists.,,
994,powermodule:pfc-over-temp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,PFC stage exceeded critical temp — shut down.,Check cooling. Power cycle. Replace module if persists.,,
995,powermodule:llc-over-temp-shutdown,"CPE250, CPE280, CP6000, EXPP",Critical,LLC converter exceeded critical temp — shut down.,Check cooling. Power cycle. Replace module if persists.,,
996,powermodule:cpu2-boot-failure,"CPE250, CPE280, CP6000, EXPP",Critical,CPU2 boot failure — secondary processor permanently failed to start.,Replace module.,,
997,powermodule:cpu2-task-failure,"CPE250, CPE280, CP6000, EXPP",Critical,CPU2 RTOS task crashed. Real-time task failure on secondary processor.,Power cycle. Replace module if persists.,,
998,powermodule:gate-power-fault,"CPE250, CPE280, CP6000, EXPP",Critical,Gate driver power supply fault. Switching transistor drivers have no power. Module can't switch.,Replace module.,,
999,powermodule:llc-enable-check-failed,"CPE250, CPE280, CP6000, EXPP",Critical,LLC converter enable check failed. Safety interlock preventing converter from starting.,Power cycle. Replace module if persists.,,
1000,powermodule:llc-output-current-sensor-fail,"CPE250, CPE280, CP6000, EXPP",Critical,LLC output current sensor has failed. Module can't measure DC output current. Safety hazard.,Replace module.,,
1001,powermodule:fpga-spi-error,"CPE250, CPE280, CP6000, EXPP",Major,FPGA SPI communication error. Logic device communication is unreliable.,Power cycle. Replace module if persists.,,
1002,powermodule:input-ac-high-threshold,"CPE250, CPE280, CP6000, EXPP",Minor,AC input voltage is near the high threshold. Not faulted yet but close to limit.,Monitor. Check site power.,,
1003,powermodule:range-transfer-active,"CPE250, CPE280, CP6000, EXPP",Minor,Module is actively switching voltage ranges. Informational — normal during wide voltage range transitions.,No action needed. Normal operation during range change.,,
1004,powermodule:llc-control-at-max,"CPE250, CPE280, CP6000, EXPP",Minor,LLC converter control loop is at maximum duty cycle. Module is maxed out — can't provide more power.,Monitor. Check if vehicle demand exceeds module capability.,,
1005,powermodule:input-relay-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Input relay (AC input contactor inside module) has failed. Module can't connect to AC supply.,Replace module.,,
1006,powermodule:fpga-image-update-failure,"CPE250, CPE280, CP6000, EXPP",Major,FPGA image update failed. Logic device firmware didn't program correctly.,Retry update. Replace module if FPGA can't be reprogrammed.,,
1007,powermodule:fpga-boot-failure,"CPE250, CPE280, CP6000, EXPP",Critical,FPGA failed to boot. Logic device configuration is corrupted. Module inoperable.,Replace module.,,
1008,powermodule:output-relay-open-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Output relay failed to open. Relay may be welded. Module can't disconnect from DC bus. Safety hazard.,Replace module. Inspect for relay welding.,,
1009,powermodule:output-relay-close-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Output relay failed to close. Module can't connect to DC bus.,Replace module or output relay.,,
1010,powermodule:llc-calibration-failed,"CPE250, CPE280, CP6000, EXPP",Major,LLC converter calibration procedure failed. Output accuracy may be degraded.,Power cycle. Retry calibration. Replace module if persists.,,
1011,powermodule:not-detected,"CPE250, CPE280, CP6000, EXPP",Critical,Module physically installed but not detected on CAN bus.,Check CAN connections. Reseat module. Check for bent pins. Replace module or controller if persists.,,
1012,powermodule:energize-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Module failed to energize — couldn't bring up output voltage when commanded.,Power cycle. Replace module if persists.,,
1013,powermodule:precharge-sw-timeout,"CPE250, CPE280, CP6000, EXPP",Critical,Precharge switch timed out. Precharge didn't complete in expected time.,Power cycle. Check precharge circuit. Replace module if persists.,,
1014,powermodule:3ph-ac-current-sensor-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Three-phase AC current sensor has failed. Module can't measure AC input current.,Replace module.,,
1015,powermodule:link-precharge-ic-hw-failure,"CPE250, CPE280, CP6000, EXPP",Critical,Precharge IC hardware has failed. Precharge control circuit is dead.,Replace module.,,
1016,pwrctl:comms-error,EXPP/PL,Critical,Power Controller lost communication with station controller.,Check CAN/Ethernet cabling. Power cycle. Replace PWRCTL if persists.,,
1017,pwrctl:firmware-update-error,EXPP/PL,Major,PWRCTL firmware update failed.,Retry update. Power cycle. Escalate if persists.,,
1018,pwrctl:fan1-overcurrent,EXPP/PL,Major,Cabinet fan 1 drawing overcurrent. Motor may be failing.,Check for obstructions. Replace fan 1.,,
1019,pwrctl:fan2-overcurrent,EXPP/PL,Major,Cabinet fan 2 drawing overcurrent.,Check for obstructions. Replace fan 2.,,
1020,pwrctl:fan1-open-circuit-detected,EXPP/PL,Major,Fan 1 open circuit — not powered. Wiring disconnected or motor coil broken.,Check wiring. Replace fan 1.,,
1021,pwrctl:fan2-open-circuit-detected,EXPP/PL,Major,Fan 2 open circuit.,Check wiring. Replace fan 2.,,
1022,pwrctl:fan1-speed-mismatch,EXPP/PL,Minor,Fan 1 RPM doesn't match commanded speed.,Check fan. Monitor. Replace if degrading.,,
1023,pwrctl:fan2-speed-mismatch,EXPP/PL,Minor,Fan 2 RPM doesn't match commanded speed.,Check fan. Monitor.,,
1024,pwrctl:fan1-locked-rotor,EXPP/PL,Critical,Fan 1 rotor is locked — motor jammed. Drawing current but not spinning.,"Check for physical obstruction (debris, ice). Replace fan assembly.",,
1025,pwrctl:fan2-locked-rotor,EXPP/PL,Critical,Fan 2 rotor is locked.,Check for obstruction. Replace fan assembly.,,
1026,pwrctl:rtd-ambtemp-open,EXPP/PL,Minor,Ambient temperature RTD sensor is open/disconnected.,Check sensor connection. Replace sensor if failed.,,
1027,pwrctl:rtd-ambtemp-shorted,EXPP/PL,Minor,Ambient RTD sensor shorted — false readings.,Replace sensor or PWRCTL.,,
1028,pwrctl:rtd-amb-overtemp-warning,EXPP/PL,Minor,Ambient temp above warning threshold. Hot environment.,Monitor. Station may derate. Environmental.,,
1029,pwrctl:rtd-amb-overtemp-shutdown,EXPP/PL,Critical,Ambient temp exceeded critical — station shutting down for thermal protection.,Wait for temp to drop. Environmental. May need shade structure.,,
1030,pwrctl:board-overtemp-warning,EXPP/PL,Minor,PWRCTL board temp above warning.,Monitor. Check ventilation.,,
1031,pwrctl:board-overtemp-shutdown,EXPP/PL,Critical,PWRCTL board exceeded critical temp — shut down.,Check ventilation. Power cycle. Replace PWRCTL if persists.,,
1032,pwrctl:input-48v-undervoltage-shutdown,EXPP/PL,Critical,48V input to PWRCTL is critically low — shut down. PWRCTL has no power.,Check AuxPS 48V output. Check cabling. Replace AuxPS or PWRCTL.,,
1033,pwrctl:input-48v-undervoltage-warning,EXPP/PL,Minor,48V input below warning but still operational.,Monitor. Check AuxPS output.,,
1034,pwrctl:input-48v-overvoltage-warning,EXPP/PL,Minor,48V input above warning. Regulation issue.,Monitor. Check AuxPS.,,
1035,pwrctl:input-48v-overvoltage-shutdown,EXPP/PL,Critical,48V input critically high — PWRCTL shut down to protect components.,Check AuxPS output. Replace AuxPS if voltage is out of regulation.,,
1036,pwrctl:eth-comm-loss,EXPP/PL,Major,Ethernet communication with PWRCTL lost. Network link down.,Check Ethernet cable. Power cycle. Usually self-recovers.,,
1037,pwrctl:tilt-exceeded,EXPP/PL,Critical,Cabinet tilt exceeded safe threshold. Has been hit or is structurally compromised. Potential structural damage.,Inspect immediately. Check mounting. Check for vehicle impact. Take offline if needed.,,
1038,pwrctl:tilt-warning,EXPP/PL,Minor,Minor cabinet tilt detected. May have been bumped.,Inspect mounting. Monitor.,,
1039,pwrctl:dc-thermal-switch-error,EXPP/PL,Major,DC section thermal switch has an error — switch itself may have failed or wiring is broken.,Check thermal switch. Replace if failed.,,
1040,pwrctl:ac-thermal-switch-error,EXPP/PL,Major,AC section thermal switch error.,Check thermal switch. Replace if failed.,,
1041,pwrctl:dc-bus-a-thermal-switch-derate,EXPP/PL,Major,DC Bus A thermal switch tripped — station derating on Bus A. Charging at reduced power.,Check Bus A connections. Fix root cause of overheating.,,
1042,pwrctl:dc-bus-b-thermal-switch-derate,EXPP/PL,Major,DC Bus B thermal switch tripped — derating.,Check Bus B connections.,,
1043,pwrctl:dc-bus-c-thermal-switch-derate,EXPP/PL,Major,DC Bus C thermal switch tripped — derating.,Check Bus C connections.,,
1044,pwrctl:dc-bus-d-thermal-switch-derate,EXPP/PL,Major,DC Bus D thermal switch tripped — derating.,Check Bus D connections.,,
1045,pwrctl:dc-bus-a-thermal-switch-error,EXPP/PL,Major,DC Bus A thermal switch error — switch failed or wiring broken.,Check switch. Replace if failed.,,
1046,pwrctl:dc-bus-b-thermal-switch-error,EXPP/PL,Major,DC Bus B thermal switch error.,Check switch. Replace.,,
1047,pwrctl:dc-bus-c-thermal-switch-error,EXPP/PL,Major,DC Bus C thermal switch error.,Check switch. Replace.,,
1048,pwrctl:dc-bus-d-thermal-switch-error,EXPP/PL,Major,DC Bus D thermal switch error.,Check switch. Replace.,,
1049,pwrctl:door1-open,EXPP/PL,Major,Power cabinet door 1 is open. Tamper switch triggered.,Close and secure door. Check latch.,,
1050,pwrctl:door2-open,EXPP/PL,Major,Power cabinet door 2 is open.,Close and secure door.,,
1051,pwrctl:door3-open,EXPP/PL,Major,Power cabinet door 3 is open.,Close and secure door.,,
1052,pwrctl:high-voltage-surge-arrestor-open,EXPP/PL,Critical,HV surge arrestor in power cabinet has tripped. HV surge protection depleted — station vulnerable to surges.,Replace HV surge arrestor immediately. Check for surge damage.,,
1053,pwrctl:ac-surge-arrestor-open,EXPP/PL,Major,AC surge arrestor in power cabinet has tripped. AC surge protection depleted.,Replace AC surge arrestor. Check site power quality.,,
1054,pwrctl:data-partition-full,EXPP/PL,Critical,"PWRCTL data partition full. Logs, sessions, firmware updates will fail.",Clear logs. Reboot. Manual cleanup via shell.,,
1055,pwrctl:tmp-partition-full,EXPP/PL,Major,PWRCTL temp partition full. Temp file operations and updates will fail.,Reboot to clear temp files.,,
1056,coolctrl:comms-error,CP800,Critical,Cooling Controller lost communication with station controller. Cooling status unknown.,Check CAN/Ethernet cabling. Power cycle. Replace COOLCTRL if persists.,,
